S. No.,Zone,Phase,Cycle,UPC,Unnamed: 5,Survey_UPC,Project Name,Start Chainage,End Chainage,Start Lat,Start Long,End Lat,End Long
1,E,Phase 1,Cycle 1,N_02026_05005_AS,N/02026/05005/AS,N_02026_05003_AS,Nalbari-Bijni( AS-09) from 983.00 km to 961.50 km of Old NH-31,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
2,E,Phase 1,Cycle 1,N_02026_05005_AS,N/02026/05005/AS,N_02026_05002_AS,Nalbari-Bijni( AS-08) from km.1013 to km.983 of Old NH-31,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
3,E,Phase 1,Cycle 1,N_02026_06003_AS,N/02026/06003/AS,N_02026_06001_AS,Nalbari to Bijni section of NH-31 from km. 1040.30 to Km. 1013.00 (Contract Package EW-11/ AS-07) in Assam,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
4,E,Phase 1,Cycle 1,N_08067_03001_BR,N/08067/03001/BR,N_08067_03001_BR,Bhojpur Buxar section of NH-84 from km.27.37 to km. 75.00,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
5,E,Phase 1,Cycle 1,N_04001_25001_OR,N/04001/25001/OR,N_04001_25001_OR,Binjhabahal - Telebani from km. 414.000 to km. 491.71,414982,493302,21.4496272728333,85.2562084458333,21.540958578,84.5944442704
6,E,Phase 1,Cycle 1,N_02005_03001_UP,N/02005/03001/UP,N_02005_03001_UP,Agra - Etawah Bypass Section of NH- 2 from Km. 199.660 to Km. 323.525 in the State of Uttar Pradesh,199660,323520,27.2061967,78.03192,26.7642614,79.0449999
7,E,Phase 1,Cycle 1,N_02008_02001_UP,N/02008/02001/UP,N_02008_02001_UP,Agra Bypass connecting km 176.8 of NH-2 to km 13.03 of NH-3 (km 0.000 to km 32.800),0,32790,27.2633538,77.8127896,27.0665625,77.9799134
8,E,Phase 1,Cycle 1,N_02005_04001_UP,N/02005/04001/UP,N_02005_04001_UP,6 of Etawah - Chakeri from km. 323.475 to km. 483.687 of NH-19,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
9,E,Phase 1,Cycle 1,N_02005_08001_UP,N/02005/08001/UP,N_02005_08001_UP,6 of Handia to Varanasi Section from Km 712.900 to Km 785.544,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
10,E,Phase 1,Cycle 1,"N_02005_09002_UP
","N/02005/09002/UP
",N_02005_09001_UP,"Varanasi bypass (Ring Road, Phase-I) from Harhua (Km 0.000) to Sandaha (Km 16.550)",245000,317630,25.3651906,82.170761,25.2721586,82.8577781
11,E,Phase 1,Cycle 1,"N_02005_10002_UP
","N/02005/10002/UP
",N_02005_10001_UP,"4 Bypass connecting NH-2 (Rakhauna Village km. 782.546 of NH-2) with NH-56 (Vajidpur Village km. 271.300 of NH-56) of Varanasi Ring Road (Pkg-I, Phase -II) from km. 0.00 to km. 16.400 i/c Interchange Loop at NH-2",245000,317630,25.3651906,82.170761,25.2721586,82.8577781
12,E,Phase 1,Cycle 1,N_08040_03001_UP,N/08040/03001/UP,N_08040_03001_UP,Varanasi (Km 12.01) to Birnon (Km 84.160) [Varanasi - Gorakpur] ( PKG-II),2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
13,E,Phase 1,Cycle 1,N_02008_09001_UP,N/02008/09001/UP,N_02008_09001_UP,Jhansi - Lalitpur section 1/2 from km. 0.00 to km. 49.70 (Package - NS1/BOT/UP-2),245000,317630,25.3651906,82.170761,25.2721586,82.8577781
14,E,Phase 1,Cycle 1,"N_02021_06010_UP
","N/02021/06010/UP
",N_02021_06001_UP,Ayodhya - Gorakhpur Section from km. 137.97 to km. 252.86 of Old NH- 28 (Pkg No.l/NHAI/OMT/Pkg- 11/2011),245000,317630,25.3651906,82.170761,25.2721586,82.8577781
15,E,Phase 1,Cycle 1,N_02021_07001_UP,N/02021/07001/UP,N_02021_07001_UP,Four laning of Gorakhpur Bypass from km. 79.670 of NH - 29E to km. 251.700 of NH - 28,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
16,E,Phase 1,Cycle 1,N_02021_07002_UP,N/02021/07002/UP,N_02021_07002_UP,Gorakhpur Bypass (Km. 0.000 to Km. 32.27 connecting NH28),2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
17,E,Phase 1,Cycle 1,N_02022_01001_UP,N/02022/01001/UP,N_02022_01001_UP,Gorakhpur - Kasia - UP/Bihar Border OMT-27A,245000,317630,25.3651906,82.170761,25.2721586,82.8577781
18,E,Phase 1,Cycle 1,N_04020_04001_UP,N/04020/04001/UP,N_04020_04001_UP,4 L of Moradabad - Bareilly section of NH-24 from km 149.25 to km 271.05,148000,269790,28.8145255,78.7044409,28.2544268,79.514351
19,E,Phase 1,Cycle 1,N_04021_01001_UP,N/04021/01001/UP,N_04021_01001_UP,Ghaziabad - Aligarh,23600,150960,28.638171,77.458536,27.86128,78.133982
20,E,Phase 1,Cycle 1,N_04021_03001_UP,N/04021/03001/UP,N_04021_03001_UP,Aligarh-Kanpur (Pkg II) [Bhadwas to Kalyanpur],195733,240893,27.633605,78.5027082,27.4465298,78.8787058
21,E,Phase 1,Cycle 1,N_04021_04001_UP,N/04021/04001/UP,N_04021_04001_UP,Aligarh-Kanpur (Pkg III) [Kalyanpur - Naviganj],240897,302107,27.4465985,78.8785395,27.1891028,79.3918778
22,E,Phase 1,Cycle 1,N_04040_02001_UP,N/04040/02001/UP,N_04040_02001_UP,4 PS of EPE Cossing to start of Shamli Bypass from Km. 92.20 to Km. 155.025 of existing NH-709-B,0,61400,28.8792994,77.2483543,29.3989707,77.2949085
23,E,Phase 1,Cycle 1,N_05048_02002_UP,N/05048/02002/UP,N_05048_02002_UP,Panipat - Shamli,0,35580,29.3271317,76.9865797,29.4112705,77.2947634
24,E,Phase 1,Cycle 1,N_08035_01001_UP,N/08035/01001/UP,N_08035_01001_UP,Shakarpur( Km 8.800) to Akbarpur (Km 73.512) of NH-235 in UttarPradesh (Meerut - Bulandshahar),2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
25,E,Phase 1,Cycle 1,N_08035_02001_UP,N/08035/02001/UP,N_08035_02001_UP,Meerut - Muzaffarnagar,53250,130140,28.918314,77.641475,29.5278302,77.724848
26,E,Phase 1,Cycle 1,"N_08050_01003_UP
","N/08050/01003/UP
",N_08050_01001_UP,Ghaghra Bridge to Varanasi Section of NH-233 (Package-1),2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
27,E,Phase 1,Cycle 1,N_08056_03001_UP,N/08056/03001/UP,N_08056_03001_UP,Gagalheri-Saharanpur- Yamunanagar (UP/ Haryana Border) Section of NH-73,34400,85850,30.0762398,77.3441423,29.9889023,77.6864533
28,E,Phase 1,Cycle 1,N_02004_01001_WB,N/02004/01001/WB,N_02004_01001_WB,6 of Dhankuni to Kharagpur from km 17.600 to km 129.000 of Old NH-06,17600,129000,22.65803016,88.312062,22.38443122,87.3712547
29,E,Phase 1,Cycle 1,N_15001_01001_WB,N/15001/01001/WB,N_04001_26001_WB,4 of Chichra - Kharagpur section from Km. 129.600 to Km. 185.150 including rehabilitation of existing 4 lane from km. 134.40 to Km.129.60 of Old NH-6,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
30,E,Phase 1,Cycle 1,N_06040_02001_WB,N/06040/02001/WB,N_06040_02001_WB,Kolaghat-Haldia from km. 0.00 to km. 53.72 including ROB cum Flyover from km. 52.08 to km. 53.472,134700,209225,26.25484444,82.0371326,25.8261007104725,82.5314201163669
31,E,Phase 1,Cycle 1,N_02021_03001_UP,N/02021/03001/UP,N_02021_03001_UP,Lucknow Ring Road Pkg-2 (Behta Road to Sitapur Road),79000,93520,26.9907959,81.0288583,26.8890232,81.0803239
32,E,Phase 1,Cycle 1,"N_07013_03003_UP
","N/07013/03003/UP
",N_07013_03001_UP,Jarwal to Bahraich,42546,93116,27.124003,81.51678383,27.5521891,81.5763755
33,E,Phase 1,Cycle 1,"N_07013_03003_UP
","N/07013/03003/UP
",N_07013_03002_UP,Barabanki to Jarwal Road(28C Pkg-1),42546,93116,27.124003,81.51678383,27.5521891,81.5763755
34,E,Phase 1,Cycle 1,"N_07013_04001_UP
","N/07013/04001/UP
",N_07013_04001_UP,Bahraich Bypass - Rupadiha,99000,152840,27.59664533,81.5797955,28.01845417,81.60002467
35,E,Phase 1,Cycle 1,N_02005_05001_UP,N/02005/05001/UP,N_02005_05001_UP,6L of Chakeri - Allahabad from 483.687 to km. 628.753 of Old NH-02,483687,629157,26.380812,80.416593,25.58685058,81.49431128
36,E,Phase 1,Cycle 1,N_02021_09001_UP,N/02021/09001/UP,N_02021_09001_UP,Jajmau-Ramadevi (rehabilitation of Ganga Bridge and upgradation of 4L divided carriageway,75500,80950,26.4443133,80.4174599,26.4072537,80.3822668
37,E,Phase 1,Cycle 1,N_04017_11001_UP,N/04017/11001/UP,N_04017_11001_UP,Kanpur - Kabrai from km. 0.00 to km. 123.863,0,123860,26.421126,80.319148,,
38,E,Phase 1,Cycle 1,N_04021_05002_UP,N/04021/05002/UP,N_04021_05002_UP,Aligarh-Kanpur section (Package-IV from Naviganj - Mitrasen),302108,373078,27.1891801,79.3914967,26.9637764,79.9937293
39,E,Phase 1,Cycle 1,N_04021_05003_UP,N/04021/05003/UP,N_04021_05003_UP,Aligarh-Kanpur section (Package-V from Mitrasen-Kanpur),373085,433725,26.9637943,79.9937281,26.5124353,80.2454785
40,E,Phase 1,Cycle 1,N_08018_01001_UP,N/08018/01001/UP,N_08018_01001_UP,Unnao - Lalganj Section from km 0.000 to 70.000,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
41,E,Phase 1,Cycle 1,N_08034_03013_UP,N/08034/03013/UP,N_08034_03013_UP,Repair and Maintenance of Rouza Chouraha (Ghazipur)- Phephna (Ballia) Section from Km 405.030 to Km 473.400 on NH-31 (Pkg-1),134700,209225,26.25484444,82.0371326,25.8261007104725,82.5314201163669
42,E,Phase 1,Cycle 1,"N_08034_04002_UP
","N/08034/04002/UP
",N_08034_04001_UP,"Repair and Maintenance of Ballia Morh, Mau to Phephana Ballia Section from Km 320 to Km 375.570 on NH-128B in the State of Uttar Pradesh.",320000,375560,25.9592402,83.5711227,25.7695185,84.0461189
43,E,Phase 1,Cycle 1,N_08067_02001_BR,N/08067/02001/BR,N_08067_02001_BR,Koilwar Bhojpur from km. 137.375 of NH- 30 to km. 27.37 of NH-84,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
44,E,Phase 1,Cycle 1,N_08020_02001_UP,N/08020/02001/UP,N_08020_02001_UP,Four Laning of Sultanpur to Varanasi (PKG-I) [from Sultanpur (Km 134.700) to Jaunpur (Km 209.230)],134700,209225,26.25484444,82.0371326,25.8261007104725,82.5314201163669
45,E,Phase 1,Cycle 1,N_08020_03001_UP,N/08020/03001/UP,N_08020_03001_UP,Four Laning of Sultanpur to Varanasi (PKG-II) [from Jaunpur (Km 209.230) to Varanasi (Km 272.590)],209230,272650,25.826668166,82.5307633625,25.430821338,82.8603619255
46,E,Phase 1,Cycle 1,N_04021_02001_UP,N/04021/02001/UP,N_04021_02001_UP,"Aligarh-Kanpur, Pkg I [Aligarh-Bhadwas] section of NH-34",140200,186030,27.8612694,78.1340757,27.6333068,78.5033458
47,E,Phase 1,Cycle 1,N_02005_20001_WB,N/02005/20001/WB,N_02005_20001_WB,Sister Nivedita Bridge (2nd Vivekananda Bridge) & its approaches from km. 653.010 to km. 659.050 of Old NH-2. (New NH-12),653010,659050,22.65740927,88.31524226,22.65212997,88.37241878
48,E,Phase 1,Cycle 1,N_09089_01001_WB,N/09089/01001/WB,N_09089_01001_WB,Short term improvement and Routine Maintenance of NH-2E (Belghoria Expressway) from Km.0.000 to Km.7.363 excluding from Km.2.900 to 4.250 (BHS),0,7360,22.6525108208333,88.4380859305,22.6543479436667,88.3709738871667
49,E,Phase 1,Cycle 2,N_02023_01002_BR,N/02023/01002/BR,N_02023_01002_BR,Kotwa (Motihari) — Mehsi - Muzaffarpur from km. 440.000 to km. 520.000 ofNH- 27 (Old NH-28) under TOT Bundle-3,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
50,E,Phase 1,Cycle 2,N_04010_11001_JH,N/04010/11001/JH,N_04010_11001_JH,4 of Piska More (Km. 2.90) to Palma (Km. 26.00) of NH- 23,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
51,E,Phase 1,Cycle 2,N_02005_16001_JH,N/02005/16001/JH,N_02005_16001_JH,Khairatunda to Barwa Adda Section of NH 2 from km. 360.300 to km. 400.132 (Pkg II),360300,401570,23.969890471333,86.051625337,23.8522225135,86.426109958
52,E,Phase 1,Cycle 2,N_05004_04003_JH,N/05004/04003/JH,N_05004_04003_JH,Balance work of Ranchi-Mahulia Section of NH-33 from Km 140.000 (Rampur) to Km 217.300 (Chowka) (Pkg-II),140000,216990,23.273524397,85.4201605398333,22.9656064788333,85.9981419315
53,E,Phase 1,Cycle 2,N_05004_04004_JH,N/05004/04004/JH,N_05004_04004_JH,Balance work of Ranchi-Mahulia Section of NH-33 from Km 217.300 (Chowka) to Km 233.350 (Saharbeda) (pkg-III),217300,233460,22.9656744293333,85.9975148728333,22.892443373,86.1129183096667
54,E,Phase 1,Cycle 2,N_05004_04005_JH,N/05004/04005/JH,N_05004_04005_JH,Balance work of Ranchi-Mahulia Section of NH-33 from Km 233.350 (Saharbeda) to Km 277.568 (Mahulia) (Package -IV),233350,277520,22.8924404168333,86.1130288565,22.6556521793333,86.405802326
55,E,Phase 1,Cycle 2,N_08008_07001_JH,N/08008/07001/JH,N_08008_07001_JH,Bijupara (Km. 34.00) to Kuru (Km. 55.00) of NH-75 in Jharkhand,34000,54940,23.483578827,85.0170834355,23.5367075316667,84.8311290935
56,E,Phase 1,Cycle 2,N_08008_08001_JH,N/08008/08001/JH,N_08008_08001_JH,4 of Kutchery Chowk - Piska More - Bijupara from Km. 0.00 - Km. 34.00 of NH - 75,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
57,E,Phase 1,Cycle 2,N_08025_06001_JH,N/08025/06001/JH,N_08025_06001_JH,4 of Hazaribagh-Ranchi stretch of NH33 from Km 40.5 to Kml 14 including Kujju bypass,41650,114960,23.9644544661667,85.3730836106667,23.4454826906333,85.4326667265333
58,E,Phase 1,Cycle 2,N_02004_04001_OR,N/02004/04001/OR,N_02004_04001_OR,6 of Chandikhole (km 62.000) to Bhadrak (km136.500),62000,136540,20.7074712485,86.134610295333,21.142485925833,86.562455766167
59,E,Phase 1,Cycle 2,N_04001_22001_OR,N/04001/22001/OR,N_04001_22001_OR,CG/OD Border - Baragarh - Sambalpur from km. 0.00 to km. 88.00,1000,88440,21.4948061015,83.977911465333,21.307597391333,83.262797576833
60,E,Phase 1,Cycle 2,N_04001_25001_OR,N/04001/25001/OR,N_04001_25001_OR,Binjhabahal - Telebani from km. 414.000 to km. 491.71,414982,493302,21.4496034678333,85.2562391921666,21.5403320811124,84.5968218607729
61,E,Phase 1,Cycle 2,N_04001_27001_OR,N/04001/27001/OR,N_04001_27001_OR,Singhara - Binjhabahal from km. 310.806 to km. 414.982,15,414975,21.646295545,85.5976998898333,21.4496865116666,85.2555953855
62,E,Phase 1,Cycle 2,N_04001_28001_OR,N/04001/28001/OR,N_04001_28001_OR,Baharagora (199.606 Km) to Singhara (310.806 Km) of NH-6,199200,308380,22.2779999248333,86.725144353,21.8593854268333,85.9307053095
63,E,Phase 1,Cycle 2,N_05004_03001_OR,N/05004/03001/OR,N_05004_03001_OR,Balasore - Baripada - Jharpokharia - section of NH-5 (km 0.00 to km 80.6),0,81250,22.18174702,86.6466459619999,21.5529836742265,86.925307186164
64,E,Phase 1,Cycle 2,N_09060_02001_OR,N/09060/02001/OR,N_09060_02001_OR,Balance Work of Puri Bypass Road of Bhubaneswar-Puri Section from km. 56.500 to km. 67.500,56500,67150,19.851590352,85.8362497521666,19.7860016315325,85.7875116135872
65,E,Phase 1,Cycle 2,N_02005_03001_UP,N/02005/03001/UP,N_02005_03001_UP,Agra - Etawah Bypass Section of NH- 2 from Km. 199.660 to Km. 323.525 in the State of Uttar Pradesh,199660,324000,27.206883142,78.029895812167,26.762039950167,79.048799960667
66,E,Phase 1,Cycle 2,N_02008_02001_UP,N/02008/02001/UP,N_02008_02001_UP,Agra Bypass connecting km 176.8 of NH-2 to km 13.03 of NH-3 (km 0.000 to km 32.800),1025200,1058020,27.260566805,77.815602926167,27.065187684,77.983219496
67,E,Phase 1,Cycle 2,N_02005_04001_UP,N/02005/04001/UP,N_02005_04001_UP,6 of Etawah - Chakeri from km. 323.475 to km. 483.687 of NH-19,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
68,E,Phase 1,Cycle 2,"N_02020_02002_UP
","N/02020/02002/UP
",N_02020_02001_UP,4 of Orai - Bhognipur - Barah from km. 220.0 to km. 255.00 of Old NH-25 & from km. 421.20 to km. 449.00 on Old NH-02 (Pkg No. EW-II/BOT-UP),1515713,1578863,26.022483413667,79.538808697667,26.3806134520553,80.0026137061667
69,E,Phase 1,Cycle 2,N_02005_06001_UP,N/02005/06001/UP,N_02005_06001_UP,"Allahabad Bypass (3B) (Packages ABP-I, II, III )",628750,713220,25.586881178,81.4938331455,25.364964491667,82.171890531333
70,E,Phase 1,Cycle 2,N_02005_08001_UP,N/02005/08001/UP,N_02005_08001_UP,6 of Handia to Varanasi Section from Km 712.900 to Km 785.544,712900,785550,25.365157302833,82.170706576667,25.27207017,82.8577798905
71,E,Phase 1,Cycle 2,N_06019_02002_UP,N/06019/02002/UP,N_06019_02002_UP,4 PS of Prayagraj to UP/MP Border section of NH-27 (New NH-30) from Km. 4.285 to Km 45.627,4280,46040,25.404144186167,81.839156028333,25.047536541,81.733516622833
72,E,Phase 1,Cycle 2,"N_02005_09002_UP
","N/02005/09002/UP
",N_02005_09001_UP,"Varanasi bypass (Ring Road, Phase-I) from Harhua (Km 0.000) to Sandaha (Km 16.550)",2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
73,E,Phase 1,Cycle 2,"N_02005_10002_UP
","N/02005/10002/UP
",N_02005_10001_UP,"4 Bypass connecting NH-2 (Rakhauna Village km. 782.546 of NH-2) with NH-56 (Vajidpur Village km. 271.300 of NH-56) of Varanasi Ring Road (Pkg-I, Phase -II) from km. 0.00 to km. 16.400 i/c Interchange Loop at NH-2",0,15770,25.269780306167,82.825039442333,25.376698240667,82.913518333333
74,E,Phase 1,Cycle 2,N_04019_07001_UP,N/04019/07001/UP,N_04019_07001_UP,Lalganj-Hanumana km 96.80 - km 140.200,96800,140220,25.029121248167,82.386333456833,24.79821144,82.110988761167
75,E,Phase 1,Cycle 2,N_04019_08001_UP,N/04019/08001/UP,N_04019_08001_UP,Dagamagpur to Lalganj (km 49.1 - km 96.8),49100,96850,25.097526327333,82.799509595,25.028565799667,82.384806136667
76,E,Phase 1,Cycle 2,N_08040_03001_UP,N/08040/03001/UP,N_08040_03001_UP,Varanasi (Km 12.01) to Birnon (Km 84.160) [Varanasi - Gorakpur] ( PKG-II),12000,84170,25.384932634667,83.060735639333,25.673664877833,83.551317646667
77,E,Phase 1,Cycle 2,N_02008_09001_UP,N/02008/09001/UP,N_02008_09001_UP,Jhansi - Lalitpur section 1/2 from km. 0.00 to km. 49.70 (Package - NS1/BOT/UP-2),1269455,1319165,25.459107081,78.481208001667,25.0635385359448,78.4388813331481
78,E,Phase 1,Cycle 2,N_02008_10001_UP,N/02008/10001/UP,N_02008_10001_UP,Jhansi - Lalitpur section 2/2 from km. 49.70 to km. 99.005 (Package - NS1/BOT/UP-3),49700,99110,25.064799466667,78.439615496167,24.671418400833,78.440141164167
79,E,Phase 1,Cycle 2,N_04020_06001_UP,N/04020/06001/UP,N_04020_06001_UP,Four Laning of Lucknow-Sitapur from km 488.270 to km 413.200,90370,217830,26.254686542833,82.037245373,26.8014703895,81.004666596333
80,E,Phase 1,Cycle 2,N_05018_01001_UP,N/05018/01001/UP,N_05018_01001_UP,Lucknow-Raibarelli,12700,82720,26.767977367667,80.9456581375,26.213150497667,81.252247310833
81,E,Phase 1,Cycle 2,N_08020_01001_UP,N/08020/01001/UP,N_08020_01001_UP,Lucknow (11.500) to Sultanpur (138.925) of NH-56 in Uttar Pradesh,90370,217830,26.254686542833,82.037245373,26.8014703895,81.004666596333
82,E,Phase 1,Cycle 2,N_02021_07001_UP,N/02021/07001/UP,N_02021_07001_UP,Four laning of Gorakhpur Bypass from km. 79.670 of NH - 29E to km. 251.700 of NH - 28,300,16680,26.8623172165,83.315324933167,26.742801015405,83.2532450014999
83,E,Phase 1,Cycle 2,N_02021_07002_UP,N/02021/07002/UP,N_02021_07002_UP,Gorakhpur Bypass (Km. 0.000 to Km. 32.27 connecting NH28),253500,284870,26.7430302315,83.25341632,26.7437657565,83.529854401
84,E,Phase 1,Cycle 2,N_02022_01001_UP,N/02022/01001/UP,N_02022_01001_UP,Gorakhpur - Kasia - UP/Bihar Border OMT-27A,285000,366170,26.745390809333,83.5292278275,26.6043382475,84.267686134
85,E,Phase 1,Cycle 2,N_04021_01001_UP,N/04021/01001/UP,N_04021_01001_UP,Ghaziabad - Aligarh,23600,151000,28.638834087833,77.457615458,27.860796829333,78.135360362667
86,E,Phase 1,Cycle 2,N_04020_04001_UP,N/04020/04001/UP,N_04020_04001_UP,4 L of Moradabad - Bareilly section of NH-24 from km 149.25 to km 271.05,148000,271110,28.821699228333,78.695365436333,28.255372711833,79.5138456705
87,E,Phase 1,Cycle 2,N_04021_03001_UP,N/04021/03001/UP,N_04021_03001_UP,Aligarh-Kanpur (Pkg II) [Bhadwas to Kalyanpur],195730,240950,27.633811943833,78.502182994833,27.446194265833,78.879472667667
88,E,Phase 1,Cycle 2,N_04021_04001_UP,N/04021/04001/UP,N_04021_04001_UP,Aligarh-Kanpur (Pkg III) [Kalyanpur - Naviganj],240895,302265,27.4469065585,78.877723254833,27.188900238917,79.3927188845835
89,E,Phase 1,Cycle 2,N_08050_01003_UP,N/08050/01003/UP,N_08050_01003_UP,Ghaghra Bridge to Varanasi Section of NH-233 (Package-1),124150,180430,26.594645055667,82.619147329667,26.278755226333,83.003825638333
90,E,Phase 1,Cycle 2,N_02004_01001_WB,N/02004/01001/WB,N_02004_01001_WB,6 of Dhankuni to Kharagpur from km 17.600 to km 129.000 of Old NH-06,17600,129010,22.658030187167,88.312011401667,22.38434686,87.371162398333
91,E,Phase 1,Cycle 2,N_02004_02001_WB,N/02004/02001/WB,N_02004_02001_WB,Four Laning of Balasore to Kharagpur from km. 0.00 to km. 119.30,0,119380,21.550152369333,86.922149971667,22.378168298167,87.368200216833
92,E,Phase 1,Cycle 2,N_15001_01001_WB,N/15001/01001/WB,N_15001_01001_WB,4 of Chichra - Kharagpur section from Km. 129.600 to Km. 185.150 including rehabilitation of existing 4 lane from km. 134.40 to Km.129.60 of Old NH-6,16080,72280,22.304116535833,86.873497203833,22.38224054,87.368270797333
93,E,Phase 1,Cycle 2,N_06040_02001_WB,N/06040/02001/WB,N_06040_02001_WB,Kolaghat-Haldia from km. 0.00 to km. 53.72 including ROB cum Flyover from km. 52.08 to km. 53.472,0,53240,22.434498999167,87.8620264875,22.048714143,88.087392691
94,E,Phase 1,Cycle 2,N_08005_04001_WB,N/08005/04001/WB,N_08005_04001_WB,Farakka (295.000) to Raiganj (395.000) of NH-34 in the state of West Bengal,294900,394640,24.808080679833,87.9442268885,25.569984516167,88.1330163135
95,E,Phase 1,Cycle 2,N_05004_04002_JH,N/05004/04002/JH,N_05004_04002_JH,Balance work of Ranchi-Mahulia Section of NH-33 from Km 113.730 (Vikas) to Km 140.000 (Rampur) (Pkg-I),113730,139500,23.4450832916667,85.4320757433333,23.273514429,85.4201650228333
96,E,Phase 1,Cycle 2,N_08038_01001_BR,N/08038/01001/BR,N_08038_01001_BR,Two Laning of Mokama-Munger section of NH-80 from Km 1.430 to Km 70.000 in Bihar under NHDP Phase-III on DBFOT Annuity basis,1430,70020,25.3703168046666,85.9848175833333,25.3402658842174,86.4643191334427
97,E,Phase 1,Cycle 2,"N_09077_01001_BR-RCW
","N/09077/01001/BR-RCW
",N_09077_01001_BR,"Construction of Approaches to Rail cum Road bridge across river Ganga at Munger Ghat near Munger on NH-80 from Km 0.00 (Km 74.7) to Km 9.394 (start point of Rail cum Road viaduct) and Km 0.075 (end point of Rail cum Road Viaduct) to Km 5.198 (Km 262.8 of NH-31) in Bihar on EPC mode,",0,9420,25.3461597171666,86.5148790706666,25.389995906,86.4660296795
98,E,Phase 1,Cycle 2,N_02026_06003_AS,N/02026/06003/AS,N_02026_06003_AS,"Tolling, Operation, Maintenance & Transfer of Kaljhar-Patacharkuchi Section from Km. 1013.000 to Km. 1040.300 of NH-27 in the State of Assam",1013000,1040460,26.421482029,91.014094290333,26.508631472,91.250418291
99,E,Phase 1,Cycle 2,N_02025_07004_WB,N/02025/07004/WB,N_02025_07004_WB,Strengthening & Improvement of NH-31 (new NH 27) from Km 447.000 To 551.000 Daikhola-Islampur-Ghoshpukur Section (Excluding Islampur Bypass) in the State of West Bengal on O&M basis,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
100,E,Phase 1,Cycle 2,N_02025_02001_WB,N/02025/02001/WB,N_02025_02001_WB,Islampur Bypass of NH-31 (New NH-27) of 10.31 km length in the state of West Bengal,2611000,2621360,26.234878851,88.1553628565,26.282927979167,88.222712822333
101,E,Phase 1,Cycle 2,"N_02025_04007_WB
","N/02025/04007/WB
",N_02025_04001_WB,Ghoshpukur (km 0.000) to Dhupguri (km 83.785) of NH-31D,0,83810,26.587170018167,88.285326425667,26.576646495333,88.9715562585
102,E,Phase 1,Cycle 2,N_02005_17001_WB,N/02005/17001/WB,N_02005_17001_WB,Barwa Adda (Km. 398.240) to Panagarh (Km. 521.120),398240,521110,23.852602927667,86.424317344167,23.432462688167,87.484818260833
103,E,Phase 1,Cycle 2,N_02005_18002_WB,N/02005/18002/WB,N_02005_18002_WB,6L of Palsit-Panagarh from Km. 521.120 to Km. 588.870 of NH-19,521100,588930,23.432631788333,87.484487813333,23.164261136167,88.031726583667
104,E,Phase 1,Cycle 2,N_02021_02002_UP,N/02021/02002/UP,N_02021_02002_UP,Lucknow Ring Road Pkg-1 (Sultanpur Road to Behta Road) [Bypass connecting NH-56 at km. 17.40 and terminating near Behta Road],0,32090,26.794581392333,81.058985276333,26.777830823833,80.819872985167
105,E,Phase 1,Cycle 2,N_02021_03001_UP,N/02021/03001/UP,N_02021_03001_UP,Lucknow Ring Road Pkg-2 (Behta Road to Sitapur Road),32000,64940,26.7776238505,80.8199755415,27.001777700667,80.925197355833
106,E,Phase 1,Cycle 2,N_02021_04002_UP,N/02021/04002/UP,N_02021_04002_UP,Lucknow Ring Road Pkg 3A (Sitapur Road to Kursi Road),64900,79540,27.001859940833,80.924969579,26.990857119833,81.028543838167
107,E,Phase 1,Cycle 2,"N_07013_03003_UP
","N/07013/03003/UP
",N_07013_03001_UP,Jarwal to Bahraich,42546,92996,27.123925947167,81.516790656833,27.552504160333,81.5767137135
108,E,Phase 1,Cycle 2,"N_07013_03003_UP
","N/07013/03003/UP
",N_07013_03002_UP,Barabanki to Jarwal Road(28C Pkg-1),42546,92996,27.123925947167,81.516790656833,27.552504160333,81.5767137135
109,E,Phase 1,Cycle 2,"N_07013_04001_UP
","N/07013/04001/UP
",N_07013_04001_UP,Bahraich Bypass - Rupadiha,99000,152840,27.596665114833,81.5797921405,28.018013058,81.599762772667
