S. No.,Zone,Phase,Cycle,UPC,Unnamed: 5,Survey_UPC,Project Name,Start Chainage,End Chainage,Start Lat,Start Long,End Lat,End Long
351,B,Phase 1,Cycle 1,N_04006_04001_GJ,N/04006/04001/GJ,,4 of Godhra to Gujarat/M.P. Border Section from Km. 129.000 to Km. 215.900 of NH-47 (Old NH-59),127848,214998,22.7876317458333,73.6727405736667,22.7830017133333,74.4363340533333
352,B,Phase 1,Cycle 1,N_04003_13003_GJ,N/04003/13003/GJ,,Sanchore - Santalpur from km 35.000 - km 67.000 of NH- 754K (AJ-RGBS-Package-2),35000,67040,24.411415898,71.646518762,24.1707031305,71.5092889228333
353,B,Phase 1,Cycle 1,N_02001_09001_RJ,N/02001/09001/RJ,,6 of Udaipur to Shamlaji from Km 287.400 to km 401.200 of Old NH-8,333550,446500,24.4542865686667,73.654309111,23.6804563336667,73.3610389528333
354,B,Phase 1,Cycle 1,N_04037_01001_RJ,N/04037/01001/RJ,,4 of Beawar- Pali- Pindwara Section of NH 14 (km 0.000 to km 244.120),0,244120,26.0618738896667,74.2993434761667,24.7806273193333,73.0300371971667
355,B,Phase 1,Cycle 1,N_05038_01002_RJ,N/05038/01002/RJ,N_05038_01003_RJ,Maintenance of 4 Jaipur-Reengus section of NH-52 (Old NH-11) from Km. 246.300 to Km. 298.075,246300,298250,26.9981432345,75.7705335263333,27.3796646188333,75.5535509188333
356,B,Phase 1,Cycle 1,N_04038_01001_RJ,N/04038/01001/RJ,,Four Laning of Mahua-Jaipur from Km 120.00 to Km 228.00,120000,229100,27.0342305093333,76.9021352056667,26.8933211046667,75.8661874775
357,B,Phase 1,Cycle 1,N_04038_02001_RJ,N/04038/02001/RJ,,4 of Bharatpur-Mahua from km. 63.00 to km. 120.00 of Old NH 11,62200,119600,27.1828467086667,77.4391412636667,27.0340510711667,76.9018035551667
358,B,Phase 1,Cycle 1,N_04038_03001_RJ,N/04038/03001/RJ,,Four Laning of Agra-Bharatpur from km 17.756 to km 62.295 of NH-21,17700,62310,27.1443724601667,77.8344701045,27.1832788081667,77.437097499
359,B,Phase 1,Cycle 1,N_08027_01001_RJ,N/08027/01001/RJ,,4 Laning of Jaipur to Deoli Section of NH-12 (Km 18.700 to km 165.000),18700,167660,26.7717620403333,75.8327840556667,25.7302543516667,75.4133696815
360,B,Phase 1,Cycle 1,N_08027_02002_RJ,N/08027/02002/RJ,N_08027_02004_RJ,Reconstruction & Rehabilitation Bituminous Pavement Works and Incidental Works of Deoli – Kota Section of NH – 12 (New NH – 52) from km 165.00 to Talabgaon Junction (Design km 167.624 to Km 205.724) (Package – 1),167624,205724,25.7303491046667,75.4132271683333,25.460916422,75.5886844033333
